,RT_SubSet,Concert,Last_RT_created_at,tweet,Last_RT_id,Last_RT_url,OriTwt_id,language,LastRT_user_followers_count,Last_RT_user_friends_count,Last_RT_user_statuses_count,Last_RT_user_favorites_count,Ori_Twt_user_friends_count,Ori_Twt_user_statuses_count,Ori_Twt_user_followers_count,Last_RT_retweet_count,Last_RT_favorite_count,Last_RT_reply_count,Shout,Tweet Length,Tweet link/media,Affection,Intensifiers,Self,Members,recording,Stills,Production,Music,Commentary,Army,Anticipation,Fanwork,Information,Stream,Spam,Commercial,Hashtag,@BTS_twt
404,Rand200_3t1RTd,SWZ_D1,2021-06-13 09:58:54+00:00,"JUNGKOOK IN HALF SLEEVES AND HIS TATTOOS OMG 😭😭🔥

#SOWOOZOO #MUSTERSOWOOZOO @BTS_twt https://t.co/Lhr6P4xONs",1404015412078026754,https://twitter.com/anyuser/status/1404015412078026754,1404015103905722368,en,549,615,2180,2981,1900,8476,2006,2,2,0,False,129,True,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True
405,Rand200_3t1RTd,SWZ_D1,2021-06-13 09:56:57+00:00,Omg!!!!! Tattoo jk!!!! Aaaa nk jerit tp tak boleh!!!!!!!! #SOWOOZOO #BTSARMY https://t.co/eTzY4EbOv0,1404014923466768390,https://twitter.com/anyuser/status/1404014923466768390,1404013902870966272,in,343,271,3079,28929,3276,24376,3885,1,2,0,False,118,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
406,Rand200_3t1RTd,SWZ_D1,2021-06-13 11:45:43+00:00,"Bye 😭😭 #MUSTERSOWOOZOO @BTS_twt https://t.co/4Qvn8fdoY5 QT @aishahzamberi: Last song 

#SOWOOZOO 😭😭😭😭😭😭😭

#MUSTERSOWOOZOO 

Not all of em promoting samsung",1404042295792472064,https://twitter.com/anyuser/status/1404042295792472064,1404042252398350336,und,186,199,1672,386,1717,88538,499,1,0,0,False,183,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True
407,Rand200_3t1RTd,SWZ_D1,2021-06-13 10:10:19+00:00,"En español por favor, qué no entiendo ni un carajoooo

#SOWOOZOO #MUSTERSOWOOZOO https://t.co/HnbV3tU4o7",1404018284236771332,https://twitter.com/anyuser/status/1404018284236771332,1404016654716129280,es,823,1465,2525,4557,28,46,5,2,11,2,False,122,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
408,Rand200_3t1RTd,SWZ_D1,2021-06-13 11:18:59+00:00,"지민이 넘 이쁘다😘😍😘

 #SOWOOZOO #2021BTSFESTA #JIMIN @B https://t.co/ansyfDt6Z1",1404035564899209221,https://twitter.com/anyuser/status/1404035564899209221,1404032885770711040,ko,4095,168,304293,486056,302,30168,31,1,2,0,False,92,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
409,Rand200_3t1RTd,SWZ_D1,2021-06-13 11:44:23+00:00,@BTS_twt thank you 💜 #8thAnniversaryBTS #BTSFESTA2021 #SOWOOZOO https://t.co/8SM1rr4Rih,1404041957177921537,https://twitter.com/anyuser/status/1404041957177921537,1404041931693383680,en,3,42,3730,285,315,9438,272,1,0,0,False,105,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True
410,Rand200_3t1RTd,SWZ_D1,2021-06-13 11:13:58+00:00,"ЭТИ РЕБЯТА ОНИ ПРАВДА СДЕЛАЛИ ЭТО✋🏼
#SOWOOZOO #MUSTERSOWOOZOO https://t.co/eu51Ef0Omc",1404034304016109576,https://twitter.com/anyuser/status/1404034304016109576,1404024377029636096,ru,29,59,11693,10330,401,7670,806,2,36,0,False,100,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
411,Rand200_3t1RTd,SWZ_D1,2021-06-13 10:39:17+00:00,"Taehyung’s growl: ✅
Our tiger is back 🐯🔥
@BTS_twt #SOWOOZOO #BTSMusterSoWooZoo #2021FESTA",1404025576986316800,https://twitter.com/anyuser/status/1404025576986316800,1404024585792618496,en,306,222,40412,26852,880,26980,197,1,1,0,False,108,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True
412,Rand200_3t1RTd,SWZ_D1,2021-06-13 11:13:44+00:00,"Que bonita es la gente que ve los clips pero que no le da like al tweet🧐
Que sepan que me caen muy bien😬
(Aquí les dejo a nuestro rapero Jin para que sigan viendo😒🤭)
💜
#BTSARMY #BTS #MUSTERSOWOOZOO #SOWOOZOO #방탄소년단 @BTS_twt https://t.co/XhZ79yPwij",1404034244465283076,https://twitter.com/anyuser/status/1404034244465283076,1404029847752564736,es,114,398,1177,1375,1841,2587,1924,3,6,0,False,270,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,True
413,Rand200_3t1RTd,SWZ_D1,2021-06-13 10:43:56+00:00,"JUNGKOOK TE JURO QUE ERES ARTE EN TODOS LOS SENTIDOS, NADIE TE MERECE REY

#SOWOOZOO https://t.co/E2XzzqDPnb",1404026744135421954,https://twitter.com/anyuser/status/1404026744135421954,1404025923943473152,es,4,86,178,753,1548,43322,5802,1,11,0,False,123,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
414,Rand200_3t1RTd,SWZ_D1,2021-06-13 10:47:26+00:00,有料だからこそこゆときスクショSNSに流すやつおわてることに気付け😅😅😅😅😅😅❓❓❓❓❓❓❓ #SOWOOZOO,1404027626918871049,https://twitter.com/anyuser/status/1404027626918871049,1404022241994575872,ja,16,57,964,7996,57,963,16,1,1,1,False,79,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
415,Rand200_3t1RTd,SWZ_D1,2021-06-13 09:07:21+00:00,"공연모드 가동 😬💜
채팅 참여하는 멤버들 너무 귀여워 😭
찜닭만 오면 완벽해~ 

#SOWOOZOO 
#BTS8thBirthday 
#8YearsToInfinityWithBTS 
#방탄_8주년_축하해 
#일곱의_겨울과_봄_뒤에_8주년 
#SmoothLikeButter  
#방탄소년단  
#BTS  #BTSARMY  
@BTS_twt https://t.co/Ha9du68hIf",1404002438508474373,https://twitter.com/anyuser/status/1404002438508474373,1404002361287217152,ko,5,49,9233,12085,71,10679,42,2,2,0,False,226,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True
416,Rand200_3t1RTd,SWZ_D1,2021-06-13 10:02:08+00:00,"I'm so happy 😭
Ngl, legit teared up seeing Jungkook perform in a short sleeve with his tattoo on full display. 
@BTS_twt  #MUSTERSOWOOZOO #SOWOOZOO #BTS",1404016225055817728,https://twitter.com/anyuser/status/1404016225055817728,1404012745612087296,en,2198,4972,102615,150953,95,34827,61,2,2,0,False,174,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
417,Rand200_3t1RTd,SWZ_D1,2021-06-13 09:23:24+00:00,"[FOTO] 2021 BTS Festa - CLOSING CEREMONY WE ♾

(https://t.co/J2gmEfHT5e)

#JIMIN #BTS #방탄소년단 #SOWOOZOO #BTSMuster #BTS8thAnniversary @BTS_twt https://t.co/Wc2QeZwxcY",1404006479301120000,https://twitter.com/anyuser/status/1404006479301120000,1403991679565189120,en,526,586,34671,21774,349,48671,39083,2,10,0,False,186,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,True,True
418,Rand200_3t1RTd,SWZ_D1,2021-06-13 10:16:30+00:00,"ความจริงมีเพียงหนึ่งเดียว  ดิชั้นเป็นมัมหมี(ปลอม)ค่ะ  ขอบคุณ

#MUSTERSOWOOZOO #SOWOOZOO #JUNGKOOK https://t.co/DEd9DDZfcb",1404019841351131138,https://twitter.com/anyuser/status/1404019841351131138,1404019777497010176,th,8,66,1642,274,609,149758,344,1,0,0,False,140,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
419,Rand200_3t1RTd,SWZ_D1,2021-06-13 12:01:09+00:00,"スマホ📱のライトつけて意気揚々と窓開けたら🪟周りに同志見つからなくてｽﾝ…( ˘ω˘ )ってなってるところに光を見つけて「おっ！！」って見たら街灯だった😇😇😇
でもいいの楽しかった大大大好きバンタンありがとう☺️💜
#SOWOOZOO https://t.co/lE7GE9BKbd",1404046176635133956,https://twitter.com/anyuser/status/1404046176635133956,1404045842974076928,ja,5,67,129,391,617,7099,220,1,2,0,False,162,True,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False
420,Rand200_3t1RTd,SWZ_D1,2021-06-13 10:00:57+00:00,"I'm Gone Yooongii -ahhhh!!😍😭

#SOWOOZOO #BTSMusterSoWooZoo QT @jimintoday__: 소우주 오프닝 인사 💜 https://t.co/YZgIxCdRQs",1404015928845688833,https://twitter.com/anyuser/status/1404015928845688833,1404015632841125888,en,13,102,261,574,21,379,2,1,1,0,False,133,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
421,Rand200_3t1RTd,SWZ_D1,2021-06-13 12:22:25+00:00,정말 감사해요~ @BTS_twt #방탄소년단 #BTS #소우주 #SOWOOZOO https://t.co/uJGZebkasK,1404051529741455363,https://twitter.com/anyuser/status/1404051529741455363,1404050496491376640,ko,220,422,479,882,1052,4725,1203,1,2,0,False,82,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True
422,Rand200_3t1RTd,SWZ_D1,2021-06-13 10:37:51+00:00,Jungkook in a sleeveless CROP TOP? It's all over I've ascended #Idol #SOWOOZOO,1404025216552951812,https://twitter.com/anyuser/status/1404025216552951812,1404024741502107648,en,483,1151,42695,73571,800,7644,412,2,2,0,False,98,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
423,Rand200_3t1RTd,SWZ_D1,2021-06-13 10:34:32+00:00,no but hobi rapping this part in particular had me on the floor screaming QT @sugaryclia: fuck me this was so FREAKING GOOD!!!!!!!!! #SOWOOZOO,1404024379088859140,https://twitter.com/anyuser/status/1404024379088859140,1404024010749493248,en,632,570,6215,17616,464,14027,467,1,1,0,False,158,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
424,Rand200_3t1RTd,SWZ_D1,2021-06-13 11:12:07+00:00,"Fire 🔥 jimin🥵

#MUSTERSOWOOZOO 
#SOWOOZOO 
#BTSFESTA2021 
#BTSARMY 
#BTSMusterSoWooZoo https://t.co/SlBDVfdY9G",1404033840599822337,https://twitter.com/anyuser/status/1404033840599822337,1404032865633935360,en,12,121,6742,41635,194,20131,196,2,6,0,False,127,True,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False
