,RT_SubSet,Concert,Last_RT_created_at,Last_RT_id,Last_RT_url,OriTwt_id,language,LastRT_user_followers_count,Last_RT_user_friends_count,Last_RT_user_statuses_count,Last_RT_user_favorites_count,Ori_Twt_user_friends_count,Ori_Twt_user_statuses_count,Ori_Twt_user_followers_count,Last_RT_retweet_count,Last_RT_favorite_count,Last_RT_reply_count,Shout,Tweet Length,Tweet link/media,Lost,Unrelated,Affection,Intensifiers,Self,Members,recording,Stills,Production,Music,Commentary,Army,Anticipation,Fanwork,Information,Stream,Spam,Commercial
20,Top200RTd,PTD_ON1,2021-10-24 12:57:38+00:00,1635080258000000000,https://twitter.com/anyuser/status/1452257979064066064,1452213561728638976,en,417,935,44840,62131,71,1692,62249,15365,40452,113,False,76,True,,,False,True,False,True,False,True,True,False,True,False,False,False,False,False,False,False
21,Top200RTd,PTD_ON1,2021-10-24 12:57:51+00:00,1635080271000000000,https://twitter.com/anyuser/status/1452258034084876296,1452208351543058432,ko,3,145,484,10707,171,15134,122264,15115,33770,0,False,54,True,,,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
22,Top200RTd,PTD_ON1,2021-10-24 12:44:45+00:00,1635079485000000000,https://twitter.com/anyuser/status/1452254735608815618,1452219267475255296,en,542,1111,94013,235980,639,57857,244023,15042,40718,153,False,50,True,,,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
23,Top200RTd,PTD_ON1,2021-10-24 12:58:53+00:00,1635080333000000000,https://twitter.com/anyuser/status/1452258295528439808,1452218470142201856,en,381,688,45297,157312,2502,58154,21942,14889,44016,161,False,44,True,,,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
24,Top200RTd,PTD_ON1,2021-10-24 12:58:04+00:00,1635080284000000000,https://twitter.com/anyuser/status/1452258088527011840,1452211819913703424,en,27,68,4081,28797,296,35320,1617890,14620,44172,186,False,143,True,,,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
25,Top200RTd,PTD_ON1,2021-10-24 12:47:50+00:00,1635079670000000000,https://twitter.com/anyuser/status/1452255511416553498,1452223803656966144,en,402,765,155057,3512,62,9927,148093,14493,32815,74,False,55,True,,,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
26,Top200RTd,PTD_ON1,2021-10-24 12:50:45+00:00,1635079845000000000,https://twitter.com/anyuser/status/1452256246703218703,1452212114823827456,en,3138,4997,37296,26774,61,4497,72632,14283,33150,41,False,69,True,,,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
27,Top200RTd,PTD_ON1,2021-10-24 12:53:10+00:00,1635079990000000000,https://twitter.com/anyuser/status/1452256853740736518,1452254917473685504,ko,480,1215,34592,28464,5,17264,7887468,14231,34605,2853,False,58,True,,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,Top200RTd,PTD_ON1,2021-10-24 12:58:08+00:00,1635080288000000000,https://twitter.com/anyuser/status/1452258105241358337,1452242024522936320,en,8,249,1167,4494,296,35320,1617892,13813,43414,121,False,187,False,,,True,False,True,True,False,False,True,True,True,False,False,False,True,False,False,False
29,Top200RTd,PTD_ON1,2021-10-24 12:51:26+00:00,1635079886000000000,https://twitter.com/anyuser/status/1452256418845888522,1452226142887456768,en,578,504,80424,113587,93,3129,20621,13166,28624,60,False,59,True,,,True,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False
