,created_at,id,user_id,user_followers_count,retweeted_status_id,retweeted_status_user_id,retweeted_status_retweet_count,retweeted_status_favorite_count,retweeted_status_reply_count,quoted_status_id,quoted_status_user_id,in_reply_to_status_id,in_reply_to_user_id,Original,RT,QT,Reply,Media,Length
47,2021-10-17 09:00:31+00:00,13233,7157,132,13250.0,15.0,6.0,6.0,0.0,,,,,0,1,0,0,1,209
48,2021-10-17 09:00:31+00:00,13236,2381,511,13250.0,15.0,7.0,6.0,0.0,,,,,0,1,0,0,1,209
49,2021-10-17 09:00:31+00:00,13234,172,5389,53.0,42.0,167.0,602.0,5.0,,,,,0,1,0,0,1,155
50,2021-10-17 09:00:31+00:00,13235,107,1242,88.0,11.0,36863.0,108598.0,2434.0,,,,,0,1,0,0,1,90
51,2021-10-17 09:00:32+00:00,13237,2288,107,55.0,847.0,369.0,2275.0,49.0,44.0,59.0,,,0,1,1,0,1,171
52,2021-10-17 09:00:32+00:00,13077,1231,1813,9.0,237.0,3097.0,7188.0,145.0,,,,,0,1,0,0,1,275
53,2021-10-17 09:00:32+00:00,13207,6276,64,72.0,121.0,11436.0,3574.0,2.0,,,,,0,1,0,0,1,69
54,2021-10-17 09:00:32+00:00,13141,559,43,53.0,42.0,216.0,721.0,8.0,,,,,0,1,0,0,1,155
55,2021-10-17 09:00:32+00:00,13140,120,674,,,,,,53.0,42.0,,,0,0,1,0,1,163
56,2021-10-17 09:00:33+00:00,13047,159,144,53.0,42.0,217.0,724.0,8.0,,,,,0,1,0,0,1,155
57,2021-10-17 09:00:34+00:00,13048,54,181,,,,,,,,296.0,754.0,0,0,0,1,1,46
58,2021-10-17 09:00:35+00:00,13050,107,1242,155.0,11.0,11699.0,33675.0,107.0,,,,,0,1,0,0,1,123
59,2021-10-17 09:00:35+00:00,13049,1252,524,95.0,140.0,27.0,57.0,0.0,,,,,0,1,0,0,1,90
