order,event,starttime,event_type
0,"Before",'2021-06-14 09:20:00+0000',"Not Stage"
1,"Pre-stream",'2021-06-14 9:25:00+0000',"Not Stage"
2,"VCR1 - wake up",'2021-06-14 9:31:35+0000',"VCR"
3,"Life goes on",'2021-06-14 9:34:31+0000',"Live Music"
4,"Butter",'2021-06-14 9:37:47+0000',"Live Music"
5,"Dynamite Trop.",'2021-06-14 9:40:38+0000',"Live Music"
6,"Live 1",'2021-06-14 9:43:59+0000',"Live Talk"
7,"Solos",'2021-06-14 9:58:11+0000',"Live Talk"
8,"Film Out",'2021-06-14 10:02:55+0000',"Live Music"
9,"VCR 2",'2021-06-14 10:06:38+0000',"VCR"
10,"Stay",'2021-06-14 10:12:12+0000',"Live Music"
11,"Fly to my room",'2021-06-14 10:15:43+0000',"Live Music"
12,"VCR 3 - Tyre",'2021-06-14 10:19:31+0000',"VCR"
13,"CNS",'2021-06-14 10:24:44+0000',"Live Music"
14,"Telepathy",'2021-06-14 10:29:08+0000',"Live Music"
15,"Live 2",'2021-06-14 10:32:45+0000',"Live Talk"
16,"Dis-ease",'2021-06-14 10:42:39+0000',"Live Music"
17,"FIRE",'2021-06-14 10:46:20+0000',"Live Music"
18,"So What",'2021-06-14 10:49:55+0000',"Live Music"
19,"Live 3",'2021-06-14 10:54:30+0000',"Live Talk"
20,"Not Today",'2021-06-14 10:57:36+0000',"Live Music"
21,"Fan Screens",'2021-06-14 11:01:28+0000',"Not Stage"
22,"VCR 4",'2021-06-14 11:10:31+0000',"VCR"
23,"Wishing...",'2021-06-14 11:14:00+0000',"Live Music"
24,"YNWA",'2021-06-14 11:18:12+0000',"Live Music"
25,"Live 4",'2021-06-14 11:20:51+0000',"Live Talk"
26,"Mikrokosmos",'2021-06-14 11:38:40+0000',"Live Music"
27,"End",'2021-06-14 11:45:37+0000',"Not Stage"
28,"After",'2021-06-14 11:50:37+0000',"Not Stage"
