,RT_SubSet,Concert,Last_RT_created_at,tweet,Last_RT_id,Last_RT_url,OriTwt_id,language,LastRT_user_followers_count,Last_RT_user_friends_count,Last_RT_user_statuses_count,Last_RT_user_favorites_count,Ori_Twt_user_friends_count,Ori_Twt_user_statuses_count,Ori_Twt_user_followers_count,Last_RT_retweet_count,Last_RT_favorite_count,Last_RT_reply_count,Shout,Tweet Length,Tweet link/media,Affection,Intensifiers,Self,Members,recording,Stills,Production,Music,Commentary,Army,Anticipation,Fanwork,Information,Stream,Spam,Commercial,Hashtag,@BTS_twt
0,Top200RTd,PTD_ON1,2021-10-24 12:58:05+00:00,BROOOOOO https://t.co/sl81Eaksrk,1452258094340247555,https://twitter.com/anyuser/status/1452258094340247555,1452232882571792384,und,8468,6837,96323,236022,896,9101,14094,31696,73414,267,False,46,True,False,True,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False
1,Top200RTd,PTD_ON1,2021-10-24 12:52:01+00:00,"🐯:”do you miss me?”
bts:”of course we are 7” 😭💘 https://t.co/vTZj4EUcCi",1452256565117980672,https://twitter.com/anyuser/status/1452256565117980672,1452217447793180672,en,695,2213,73846,102744,92,10862,241877,26006,75118,118,False,92,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2,Top200RTd,PTD_ON1,2021-10-24 12:51:41+00:00,THE KING V IS ON STAGE BABY https://t.co/wj2ZbVGcuI,1452256480263016459,https://twitter.com/anyuser/status/1452256480263016459,1452208726665056256,en,3138,4997,37302,26780,336,30211,553780,20271,47925,127,False,66,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
3,Top200RTd,PTD_ON1,2021-10-24 12:51:07+00:00,"🐰 i have a lot of complaints
🐰 i have something i want to say to people who dont like me / i dont like  
🐰 SO WHAT DO YOU WANT ME TO DO ABOUT IT",1452256339313496067,https://twitter.com/anyuser/status/1452256339313496067,1452229487278559232,en,236,560,136735,180741,35,3930,65058,20107,48413,639,False,167,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
4,Top200RTd,PTD_ON1,2021-10-24 12:51:36+00:00,MIN YOONGI. https://t.co/OfDQ8thdQk,1452256462596681740,https://twitter.com/anyuser/status/1452256462596681740,1452209376190730240,in,966,1629,74380,115557,62,9927,148105,18932,40834,111,False,49,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,Top200RTd,PTD_ON1,2021-10-24 12:49:04+00:00,KIM TAEHYUNG?!??? HELLO?!?? 😭😭 https://t.co/NDY3BMyRcE,1452255823594332165,https://twitter.com/anyuser/status/1452255823594332165,1452210799997558784,tl,115,689,42942,96544,40,3112,377700,17803,43015,133,False,75,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
6,Top200RTd,PTD_ON1,2021-10-24 12:47:50+00:00,BABY https://t.co/2GPBNuuw2K,1452255512830136336,https://twitter.com/anyuser/status/1452255512830136336,1452222439254024192,en,116,544,47334,125386,152,27565,216650,17481,37119,96,False,43,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
7,Top200RTd,PTD_ON1,2021-10-24 12:38:53+00:00,"🐰 i have something i wanna say to people who don’t really like me !!
💜 ???
🐰 어쩌라고 (so what) !!!!!!!",1452253259696164868,https://twitter.com/anyuser/status/1452253259696164868,1452229586515759104,en,621,960,25380,29558,74,95316,173548,17320,39660,373,False,114,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False
8,Top200RTd,PTD_ON1,2021-10-24 12:58:06+00:00,jimin knows he got all of us bias wrecked 😭 https://t.co/DGt82WJJhI,1452258097838317574,https://twitter.com/anyuser/status/1452258097838317574,1452220123691974656,en,114,664,53285,46136,47,37912,193925,16378,44204,86,False,83,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
9,Top200RTd,PTD_ON1,2021-10-24 12:59:30+00:00,Black Swan(1) https://t.co/wkpEO6PYEU,1452258447215448076,https://twitter.com/anyuser/status/1452258447215448076,1452218209868808192,en,34,105,6987,8663,2,164,15891,16272,36961,160,False,53,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False
10,Top200RTd,PTD_ON1,2021-10-24 12:57:08+00:00,ARE YOU KIDDING ME PARK JIMIN?!?!?! https://t.co/T6T4LhZFD0,1452257852995903492,https://twitter.com/anyuser/status/1452257852995903492,1452216951426543616,en,34,105,6985,8661,47,37912,193922,15681,34641,85,False,74,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
11,Top200RTd,PTD_ON1,2021-10-24 12:57:38+00:00,IS THIS THE UPGRADED DIOR FIT HOSEOK??? https://t.co/vp6uK8Oppi,1452257979064066064,https://twitter.com/anyuser/status/1452257979064066064,1452213561728638976,en,417,935,44840,62131,71,1692,62249,15365,40452,113,False,76,True,False,True,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False
12,Top200RTd,PTD_ON1,2021-10-24 12:57:51+00:00,VCR ㅁㅊㅁㅊㅁㅊㅁㅁ https://t.co/7YPS0FPIdK,1452258034084876296,https://twitter.com/anyuser/status/1452258034084876296,1452208351543058432,ko,3,145,484,10707,171,15134,122264,15115,33770,0,False,54,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
