,RT_SubSet,Concert,Last_RT_created_at,Last_RT_id,Last_RT_url,OriTwt_id,language,LastRT_user_followers_count,Last_RT_user_friends_count,Last_RT_user_statuses_count,Last_RT_user_favorites_count,Ori_Twt_user_friends_count,Ori_Twt_user_statuses_count,Ori_Twt_user_followers_count,Last_RT_retweet_count,Last_RT_favorite_count,Last_RT_reply_count,Shout,Tweet Length,Tweet link/media,Affection,Intensifiers,Self,Members,recording,Stills,Production,Music,Commentary,Army,Anticipation,Fanwork,Information,Stream,Spam,Commercial
122,Top200RTd,SWZ_D1,2021-06-13 09:32:51+00:00,1623576771000000000,https://twitter.com/anyuser/status/1404052128889376768,1404036880165834752,th,22,454,1595,1446,297,172309,2447,547,597,0,False,128,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False
123,Top200RTd,SWZ_D1,2021-06-13 10:14:28+00:00,1623579268000000000,https://twitter.com/anyuser/status/1404053398278729729,1403723352489873408,th,46,450,54014,7557,307,226984,338,542,62,0,False,297,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True
124,Top200RTd,SWZ_D1,2021-06-13 09:50:30+00:00,1623577830000000000,https://twitter.com/anyuser/status/1404027364233912322,1398433602073993216,es,6,86,102,438,5418,279606,7030,539,1170,19,False,179,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
125,Top200RTd,SWZ_D1,2021-06-13 11:52:37+00:00,1623585157000000000,https://twitter.com/anyuser/status/1404051668258332677,1404015480617070592,en,109,370,14284,19795,4995,13353,3821,533,1657,0,False,112,True,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False
126,Top200RTd,SWZ_D1,2021-06-13 10:34:33+00:00,1623580473000000000,https://twitter.com/anyuser/status/1404049065550172160,1404015943186059264,en,1211,4503,168486,168183,122,16291,114398,533,2028,19,False,84,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
127,Top200RTd,SWZ_D1,2021-06-13 09:38:30+00:00,1623577110000000000,https://twitter.com/anyuser/status/1404008660095934470,1403644384852135936,ko,1,32,1035,366,1861,127699,5099594,531,5225,9,False,141,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
128,Top200RTd,SWZ_D1,2021-06-13 09:15:32+00:00,1623575732000000000,https://twitter.com/anyuser/status/1404052942227836929,1404027139284869120,th,109,186,5357,3963,297,172312,2451,530,592,0,False,113,True,False,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False
129,Top200RTd,SWZ_D1,2021-06-13 09:20:23+00:00,1623576023000000000,https://twitter.com/anyuser/status/1404053429803175938,1404040495286816768,ko,722,1353,39130,50180,147,30236,22970,523,2764,24,False,55,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
130,Top200RTd,SWZ_D1,2021-06-13 11:58:07+00:00,1623585487000000000,https://twitter.com/anyuser/status/1404052227761729538,1404003885614714880,en,178,185,984,1035,235,16338,203004,517,533,11,False,181,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
131,Top200RTd,SWZ_D1,2021-06-13 10:45:49+00:00,1623581149000000000,https://twitter.com/anyuser/status/1404051817760100365,1403742576302170112,th,5,222,7370,7144,92,6482,4492,515,103,1,False,305,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True
132,Top200RTd,SWZ_D1,2021-06-13 11:49:28+00:00,1623584968000000000,https://twitter.com/anyuser/status/1404053061992022022,1403954202196385792,th,5,113,622,509,10,1655,55,515,159,325,False,264,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
133,Top200RTd,SWZ_D1,2021-06-13 11:46:56+00:00,1623584816000000000,https://twitter.com/anyuser/status/1404053237846663168,1404039256339779584,en,0,43,89,1617,133,28611,41198,514,1565,0,False,231,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
134,Top200RTd,SWZ_D1,2021-06-13 10:16:03+00:00,1623579363000000000,https://twitter.com/anyuser/status/1404043921882238979,1403644472739590144,ko,0,19,300,408,1861,127700,5100904,512,4671,9,False,141,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False
135,Top200RTd,SWZ_D1,2021-06-13 11:34:40+00:00,1623584080000000000,https://twitter.com/anyuser/status/1404050130609659911,1404024339507281920,th,58,209,12221,7244,392,166424,825,508,468,3,False,122,True,True,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False
136,Top200RTd,SWZ_D1,2021-06-13 09:43:23+00:00,1623577403000000000,https://twitter.com/anyuser/status/1404053049379676160,1404038695586390016,th,121,1908,14390,29309,54,444,591,504,596,1,False,235,True,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False
137,Top200RTd,SWZ_D1,2021-06-13 11:25:38+00:00,1623583538000000000,https://twitter.com/anyuser/status/1404053139741884423,1403306850188095488,en,399,350,14102,28900,165,8078,158,504,358,104,False,193,True,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,True
138,Top200RTd,SWZ_D1,2021-06-13 09:37:44+00:00,1623577064000000000,https://twitter.com/anyuser/status/1404052325807792128,1404012160703819776,th,591,54,418,4,54,417,591,502,473,1,False,148,True,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False
139,Top200RTd,SWZ_D1,2021-06-13 10:15:21+00:00,1623579321000000000,https://twitter.com/anyuser/status/1404050388978855937,1404009617584058368,en,118,235,487,2761,1985,2390,2795,501,1936,6,False,132,True,False,True,False,True,False,True,True,True,True,False,True,False,False,False,False,False
140,Top200RTd,SWZ_D1,2021-06-13 11:54:26+00:00,1623585266000000000,https://twitter.com/anyuser/status/1404053435645784066,1404014302281961472,en,121,304,7676,39538,109,22735,113232,499,1702,1,False,101,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
141,Top200RTd,SWZ_D1,2021-06-13 09:45:50+00:00,1623577550000000000,https://twitter.com/anyuser/status/1404005525726003208,1403968172470964224,en,402,571,19127,72391,131,28532,40785,496,3138,20,False,107,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
142,Top200RTd,SWZ_D1,2021-06-13 10:31:02+00:00,1623580262000000000,https://twitter.com/anyuser/status/1404026873160421377,1403375232329478144,en,9,861,8269,13046,230,7903,4137,495,1038,26,False,251,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
143,Top200RTd,SWZ_D1,2021-06-13 11:53:25+00:00,1623585205000000000,https://twitter.com/anyuser/status/1404027291546505221,1403172401676840960,en,94,396,1449,2226,465,84745,36816,489,2013,5,False,138,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
144,Top200RTd,SWZ_D1,2021-06-13 09:38:25+00:00,1623577105000000000,https://twitter.com/anyuser/status/1404053279391162368,1404032738521276416,th,0,19,50,61,142,15135,382,484,468,1,False,184,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
145,Top200RTd,SWZ_D1,2021-06-13 11:03:38+00:00,1623582218000000000,https://twitter.com/anyuser/status/1404053104597762051,1403324549328818176,en,192,1816,22701,41830,400,4295,378,481,1770,33,False,124,True,False,False,False,False,True,False,True,True,False,False,True,True,True,False,False,False
146,Top200RTd,SWZ_D1,2021-06-13 10:16:02+00:00,1623579362000000000,https://twitter.com/anyuser/status/1404052967938879488,1404041611009527808,ko,37,262,14203,15654,310,64315,27744,478,702,24,False,278,True,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False
147,Top200RTd,SWZ_D1,2021-06-13 09:46:29+00:00,1623577589000000000,https://twitter.com/anyuser/status/1404052697876156421,1404014500924116992,en,199,369,189109,250291,93,94553,133642,467,1727,2,False,139,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False
148,Top200RTd,SWZ_D1,2021-06-13 09:41:39+00:00,1623577299000000000,https://twitter.com/anyuser/status/1404053340292538371,1404033051580112896,en,88,177,20176,9858,133,28611,41198,465,1723,12,False,94,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False
149,Top200RTd,SWZ_D1,2021-06-13 10:24:42+00:00,1623579882000000000,https://twitter.com/anyuser/status/1404052345915207680,1404012631011119104,th,591,54,420,4,54,419,591,465,505,0,False,131,True,False,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False
150,Top200RTd,SWZ_D1,2021-06-13 09:39:44+00:00,1623577184000000000,https://twitter.com/anyuser/status/1404050981348732930,1397414690750308352,th,122,345,148426,23050,472,96874,8262,464,412,8,False,299,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False
